movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",nm1349376,130000000.0,424668047.0,864868047.0,2013,Nov
Ant-Man and the Wasp,Ant-Man and the Wasp,"Action,Adventure,Comedy",nm0715636,130000000.0,216648740.0,623144660.0,2018,Jul
Ant-Man,Ant-Man,"Action,Adventure,Comedy",nm0715636,130000000.0,180202163.0,518858449.0,2015,Jul
Home,Home,"Action,History,War",nm3776724,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Adventure,Animation,Comedy",nm0426333,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Animation,Documentary",nm4688421,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Biography,Documentary",,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Biography,Documentary",nm0317352,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Documentary,"nm3809814,nm4742029",130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Documentary,nm6822907,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Documentary,nm7057993,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Documentary,nm7658899,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Documentary,Drama,Family",nm2504839,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Documentary,Family",nm6337718,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Documentary,Family",nm7838654,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Drama,nm0646895,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Drama,nm0873260,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Drama,nm4152063,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Drama,Family",nm10066927,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,"Drama,Horror,Thriller",nm1860624,130000000.0,177397510.0,385997896.0,2015,Mar
Home,Home,Horror,nm1130275,130000000.0,177397510.0,385997896.0,2015,Mar
Mary Poppins Returns,Mary Poppins Returns,"Comedy,Family,Fantasy",nm0551128,130000000.0,171958438.0,341528518.0,2018,Dec
Puss in Boots,Puss in Boots,"Action,Adventure,Animation",nm3735491,130000000.0,149260504.0,554987477.0,2011,Oct
Megamind,Megamind,"Action,Animation,Comedy",nm0569891,130000000.0,148415853.0,321887208.0,2010,Nov
Rio 2,Rio 2,"Adventure,Animation,Comedy",nm0757858,130000000.0,131538435.0,492846291.0,2014,Apr
Salt,Salt,"Action,Mystery,Thriller",nm0637518,130000000.0,118311368.0,290650494.0,2010,Jul
Noah,Noah,"Action,Adventure,Drama",nm0004716,130000000.0,101200044.0,352831065.0,2014,Mar
Noah,Noah,Animation,"nm1860603,nm0834935",130000000.0,101200044.0,352831065.0,2014,Mar
Noah,Noah,"Drama,Thriller",nm4770766,130000000.0,101200044.0,352831065.0,2014,Mar
The Adventures of Tintin,The Adventures of Tintin,"Action,Adventure,Animation",nm0000229,130000000.0,77591831.0,373993951.0,2011,Dec
After Earth,After Earth,"Action,Adventure,Drama",nm0796117,130000000.0,60522097.0,251499665.0,2013,May
R.I.P.D.,R.I.P.D.,"Action,Adventure,Comedy",nm0777881,130000000.0,33618855.0,79076678.0,2013,Jul
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,"Action,Adventure,Animation",nm0213450,129000000.0,160791800.0,519258283.0,2019,Feb
Logan,Logan,"Action,Drama,Sci-Fi",nm0003506,127000000.0,226277068.0,615461394.0,2017,Mar
Logan,Logan,"Comedy,Drama,Family","nm2433914,nm2490907",127000000.0,226277068.0,615461394.0,2017,Mar
Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",nm0506613,127000000.0,113746621.0,353756621.0,2014,Dec
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",nm1349376,125000000.0,337135885.0,766575131.0,2014,Nov
Fast Five,Fast Five,"Action,Crime,Thriller",nm0510912,125000000.0,210031325.0,630163454.0,2011,Apr
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",nm0509448,125000000.0,191204754.0,485004754.0,2014,Aug
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",nm0005363,125000000.0,186848418.0,535663443.0,2011,Dec
